taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
9529632	Turdus assimilis Cabanis, 1850	9529632	Turdus assimilis Cabanis, 1850	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Turdus	2490714	Turdus assimilis	9529632	LC
2494973	Oreoscoptes montanus (J.K.Townsend, 1837)	2494973	Oreoscoptes montanus (J.K.Townsend, 1837)	235	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Mimidae	9321	Oreoscoptes	2494972	Oreoscoptes montanus	2494973	LC
2473514	Tympanuchus phasianellus (Linnaeus, 1758)	2473514	Tympanuchus phasianellus (Linnaeus, 1758)	497	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Tympanuchus	2473509	Tympanuchus phasianellus	2473514	LC
2489918	Dendroica graciae S.F.Baird, 1865	7341776	Setophaga graciae (S.F.Baird, 1865)	4	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga graciae	7341776	
9515886	Hirundo rustica Linnaeus, 1758	9515886	Hirundo rustica Linnaeus, 1758	213	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Hirundinidae	5248	Hirundo	2489222	Hirundo rustica	9515886	LC
5227872	Francolinus erckelii (Rüppell, 1835)	2473861	Pternistis erckelii (Rüppell, 1835)	12	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Pternistis	8128058	Pternistis erckelii	2473861	
2493628	Lonchura cantans (Gmelin, 1789)	7340335	Euodice cantans (Gmelin, 1789)	5	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Estrildidae	5709	Euodice	7340334	Euodice cantans	7340335	
2481174	Larus fuscus Linnaeus, 1758	2481174	Larus fuscus Linnaeus, 1758	457	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Larus	2481126	Larus fuscus	2481174	LC
5789281	Thalasseus maximus (Boddaert, 1783)	5789281	Thalasseus maximus (Boddaert, 1783)	1097	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Thalasseus	9109074	Thalasseus maximus	5789281	LC
9596413	Sturnella neglecta Audubon, 1844	9596413	Sturnella neglecta Audubon, 1844	4755	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Sturnella	2484248	Sturnella neglecta	9596413	LC
2490384	Cardinalis cardinalis (Linnaeus, 1758)	2490384	Cardinalis cardinalis (Linnaeus, 1758)	362830	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cardinalidae	9285	Cardinalis	3241527	Cardinalis cardinalis	2490384	LC
2478112	Melanerpes uropygialis (S.F.Baird, 1854)	2478112	Melanerpes uropygialis (S.F.Baird, 1854)	3367	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Melanerpes	2478067	Melanerpes uropygialis	2478112	LC
2494360	Leucosticte tephrocotis (Swainson, 1832)	2494360	Leucosticte tephrocotis (Swainson, 1832)	724	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Leucosticte	2494358	Leucosticte tephrocotis	2494360	LC
2494441	Fringilla montifringilla Linnaeus, 1758	2494441	Fringilla montifringilla Linnaeus, 1758	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Fringilla	2494421	Fringilla montifringilla	2494441	LC
4408922	Wilsonia citrina (Boddaert, 1783)	6093374	Setophaga citrina (Boddaert, 1783)	3	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga citrina	6093374	
2489166	Petrochelidon fulva (Vieillot, 1808)	2489166	Petrochelidon fulva (Vieillot, 1808)	105	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Hirundinidae	5248	Petrochelidon	2489165	Petrochelidon fulva	2489166	LC
2496990	Nyctidromus albicollis (J.F.Gmelin, 1789)	2496990	Nyctidromus albicollis (J.F.Gmelin, 1789)	88	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Caprimulgiformes	8510645	Caprimulgidae	5225	Nyctidromus	2496989	Nyctidromus albicollis	2496990	LC
2498165	Chen caerulescens (Linnaeus, 1758)	2498167	Anser caerulescens (Linnaeus, 1758)	4373	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Anser	2498016	Anser caerulescens	2498167	
2481156	Larus glaucoides B.Meyer, 1822	2481156	Larus glaucoides B.Meyer, 1822	388	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Larus	2481126	Larus glaucoides	2481156	LC
5229930	Icterus parisorum Bonaparte, 1838	5229930	Icterus parisorum Bonaparte, 1838	28	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Icterus	2484282	Icterus parisorum	5229930	LC
2491719	Plectrophenax nivalis (Linnaeus, 1758)	2491719	Plectrophenax nivalis (Linnaeus, 1758)	3224	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Calcariidae	6101141	Plectrophenax	2491717	Plectrophenax nivalis	2491719	LC
5229734	Contopus virens (Linnaeus, 1766)	5229734	Contopus virens (Linnaeus, 1766)	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Contopus	2483729	Contopus virens	5229734	LC
2482755	Pitangus sulphuratus (Linnaeus, 1766)	2482755	Pitangus sulphuratus (Linnaeus, 1766)	531	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Pitangus	2482750	Pitangus sulphuratus	2482755	LC
2487805	Poecile atricapillus (Linnaeus, 1766)	2487805	Poecile atricapillus (Linnaeus, 1766)	228313	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Paridae	9327	Poecile	2487782	Poecile atricapillus	2487805	LC
5227679	Lagopus muta (Montin, 1781)	5227679	Lagopus muta (Montin, 1781)	10	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Lagopus	2473369	Lagopus muta	5227679	LC
2491757	Amphispiza bilineata (Cassin, 1850)	2491757	Amphispiza bilineata (Cassin, 1850)	1407	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passerellidae	9410667	Amphispiza	2491750	Amphispiza bilineata	2491757	LC
2491946	Aimophila aestivalis (M.H.K.Lichtenstein, 1823)	7341544	Peucaea aestivalis (M.H.K.Lichtenstein, 1823)	153	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passerellidae	9410667	Peucaea	7341543	Peucaea aestivalis	7341544	
2479631	Amazona auropalliata (Lesson, 1842)	2479631	Amazona auropalliata (Lesson, 1842)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Amazona	2479603	Amazona auropalliata	2479631	CR
